,source,english_sentence,hindi_sentence,translated_base
118628,indic2012,take the god's name and read who made this world,अपने परवरदिगार का नाम ले कर पढ़ो जिसने (दुनिया को) पैदा ‎किया।,"The name of your Lord, the study who created (the world)."
53234,indic2012,In Africa some 850 Muslim regions they themselves declared to have become be free|,अफ्रीका में कई मुस्लिम प्रदेशों ने ८५० तक अपने आप को लगभग स्वतंत्र कर लिया।,Many Muslim states in Africa have almost free myself up 850.
77735,indic2012,Ramadan got down to have bath & his leg hit kabir's body,रामानन्द जी गंगास्नान करने के लिये सीढ़ियाँ उतर रहे थे कि तभी उनका पैर कबीर के शरीर पर पड़ गया।,Ramanand were coming down the stairs to live Gangasnan that if his foot fell on Kabir&#39;s body.
121948,indic2012,Ghazaiabad District,गाजियाबाद जिला,Ghaziabad District
121853,tides,"When Badruddin found that all his efforts to persuade Muslims to take part in the activities of the Indian National Congress were foiled by Sir Syed , he withdrew somewhat .",जब बदरूद्दीन ने पाया कि मुसलमानों को अखिल भारतीय कांग्रेस के कार्यकलापों में भाग लेने को राजी करने के उनके सभी प्रयासों को सर सैयद ने विफल कर दिया तो वह कुछ पीछे हट गये .,When Badruddin have failed noted that Muslims AICC all their efforts to persuade the attending Sir Syed in activities that were out behind.
123510,ted,over these years.,इन वर्षों में.,Over the years.
7080,indic2012,6. God take repeated births for the defense of religion.,6. धर्म की रक्षा के लिए ईश्वर बार-बार पैदा होते हैं,6. God to protect religion are born again
100890,ted,"When India was growing at about three, 3.5 percent",जब भारत ३-३.५ प्रतिशत पर बढ़ रहा था,When India was growing at 3-3.5 percent
115604,tides,"Compared with the daily GDP -LRB- that is , Rs 25,00,000 crore divided by 365 and we have Rs 6,849 crore -RRB- the spend works out to around 0.4 per cent .","दैनिक जीड़ीपी ( यानी 25,00,000 करोड़े रु.365 दिनों में बांटने पर 6,849 करोड़े रु.आता है ) के मुकाबले यह खर्च मात्र 0.4 फीसदी आता है .","Daily Jeedheepi (ie 2,500,000 Krode is Rukata Rs 0.365 Krode 6849 on sharing days) than spending it just comes to 0.4 percent."
67373,tides,"Players who participate in basketball , softball , wrestling , soccer , lacrosse , rugby , in-line skating , and martial arts as well as recreational sports such as skateboarding and bicycling should wear mouthguards while competing .","वे खिलाडऋई जो बास्केटबाल , साफ्टबाल , कुश्ती , फुटबाल , लाऋऋस , रकबी , ऋनलाइन स्केटिंग और युर्द्धशास्त्र में भाग लें , या मनोरंजन के लिए स्केटबोर्ड या साइकिल चलाएं , उन्हें मुकाबलों के दऋरान माउथगार्ड जरूर पहनना चाहिए .","They Kiladhrii between basketball, Saftbal, participate in wrestling, football, Lahrihris, Rkbi, Hrinlain skating and Yurddhshastr, or play skateboard or bicycle for fun, they should wear course Dhriran Mauthgard bouts."
122612,ted,There's stories that you may tell,या फिर वो कहानियाँ हैं जिन्हें हम सुनाते हैं,Or they are stories that we tell
39808,indic2012,"It was a ray of knowledge, religion and rightful living which is worshipped not only in India but throughout the world.",जहाँ ज्ञान धर्म अध्यात्म व सभ्यता-संस्कृति की ऐसी किरण प्रस्फुटित हुई जिससे न केवल भारत बल्कि समस्त संसार आलोकित हुआ।,Where knowledge had burst a beacon of religion and spiritual civilization and culture that not only India but the whole world lit up.
55618,ted,"to put up problems to be solved by design students around the world,","विश्व भर के डिज़ाइन विद्यार्थियों के समक्ष गहन समस्याओं को रखने में,","In keeping deep problems with the design students around the world,"
81152,tides,But the complex technology employed by Steward to produce it is only an index of the difficulty in producing clones of more complex organisms like higher plants and animals .,स्टीवर्ड को इस कार्य में सफलता प्राप्त करने हेतु जिस जटिल तकनीक का उपयोग करना पड़ा वह इस बात का प्रमाण है कि अधिक विकसित वनस्पति और प्राणियों के क़्लोन बनाना अत्यधिक कठिन कार्य है .,Stewart had to use the sophisticated technology to achieve success in the task of making the evidence that Khlon more developed flora and fauna is highly difficult task.
13457,tides,"The Unicode Standard has been adopted by such industry leaders as Apple , HP , IBM , JustSystem , Microsoft , Oracle , SAP , Sun , Sybase , Unisys and many others .","यूनिकोड स्टैंडर्ड को ऐपल , एच.पी . , आई.बी.एम . , जस्ट सिस्टम , माईक्रोसॉफ्ट , औरेकल , सैप , सन , साईबेस , यूनिसिस जैसी उद्योग की प्रमुख कम्पनियों और कई अन्य ने अपनाया है .","Unicode Standard Apple, Ackpi. , IBM. , Just Systems, Microsoft, Oracle, SAP, Sun, Sybase, Unisys as adopted by major companies and many other industries."
19744,tides,"The agreed formula among the three governments was that Subhas would travel across Russia on an Italian diplomatic passport impersonating an officer of the Italian Legation in Kabul , Orlando Mazzotta .","तीनों पक्षों को स्वीकार्य फार्मूले के अनुसार , रूसी क्षेत्र में सुभाष चन्द्र को काबुल स्थित इतालवी दूतावास के अधिकारी ओर्लैंडो मैजोटा के प्रतिरूप में इतालवी कूटनीतिक परिपत्र से यात्रा करनी थी .","The three sides acceptable formula, officials of the Italian Embassy in Kabul Subhash Chandra Russian region had to travel to the Italian diplomatic circular pattern of Orlando Majota."
17461,tides,They may also ' persuade ' parties to settle their dispute amicably .,वे पक्षों को शांतिपूर्वक अपना विवाद सुलझाने के लिए राजी करने के प्रयास भी कर सकते हैं .,They sides can peacefully trying to persuade to resolve your dispute.
7239,tides,"In other words , the father and his son are in search of a permanent being or substance which is unchanging in all this flux , the reality behind all these phenomena .","दूसरे शब्दों में , पिता और उसका पुत्र एक स्थायी प्रत्यय या वस्तु की खोज में हैं जो इन सब प्रवाहों में अपरिवर्तनशील है और जो इस दृश्य के पीछे की वास्तविकता है .","In other words, the father and his son are in search of a permanent suffix or object constant in all these flows and the reality behind the scenes."
54744,tides,The physical world is the field in which the self exercises its spiritual force .,"भौतिक संसार वह क्षेत्र है , जिससे स्वय आध्यात्मिक शक़्ति का प्रयोग करता है .","The physical world is an area, which uses self-spiritual Skhti."
17756,indic2012,"in indiand view the 7 important parts are numbers,yog ,justice,vaishosik,and vedantha.",भारतीय दर्शन के ६ प्रमुख अंग हैं- साँख्य योग न्याय वैशेषिक मीमांसा और वेदान्त।,6 major part of Indian philosophy are Saky totals justice Vaisheshika Metaphysics and Vedanta.
75798,ted,very good quality-assurance systems.,बहुत ही उच्च-स्तर की गारंटी देते हैं ।,The very choice of high-level.
3208,tides,Loudspeakers in the street,सडक पर लाउडस्पीकर .,Loudspeaker on the road.
61192,tides,"What further infamy , what greater betrayal is afoot ?",आगे और कितनी चालबाजी और कितनी ज़्यादा धोखेबाजी होने वाली है ?,Is going forward and how manipulation and how much cheating?
78936,tides,Must he still keep on pouring himself out and be emptied completely ?,"क्या अब भी उन्हें अर्पण करते जाना है , स्वयं को पूर्णतया नि : शेष कर देना ?","What to do now is go and surrendering them, themselves are quite exhaustive?"
23939,tides,"The centre , which is run as a trust , also houses a big and well-organised library , classrooms , a hostel and cafeteria , a small graveyard and its own tubewell .","इस केंद्र में , जिसे एक ट्रस्ट की तरह चलया जाता है , बड़ और सुव्यवस्थित पुस्तकालय , कक्षाएं , छात्रावास और रेस्तरां , एक छोटा कब्रिस्तान और नलकूप है .","The center, which is Clya like a trust, a large and well-stocked library, classrooms, hostels and restaurants, a small cemetery and tubewells."
85272,tides,"If you think you would like to learn to read and write better so you can help your child more , why not ;","यदि आप सोचते हैं कि आप और अच्छा पढऋना व लिखना सीखना पसंद करेंगे ऋससे कि आप अपने बच्चे की और भी मदद कर सकें , तोः क्यों नहीं","If you would like to learn to think and good Pdhrina and write Hrisse that you can help your child, why not why not"
98630,indic2012,This is sponsored by Mahalakshmi Race-course.,यह महालक्ष्मी रेसकोर्स में आयोजित की जाती है।,It is held at the Mahalaxmi Race Course.
59315,ted,what was going to happen next.,कि अब क्या होने वाला है |,What is going to happen now |
20174,tides,"Enforcement of Fundamental Rights The Constitution of India , Part III , has guaranteed fundamental rights to all citizens and persons within this country .",मूल अधिकारों का प्रवर्तन भारत के संविधान के भाग 111 में इस देश के अंदर सभी नागरिकों तथा व्यक्तियों के मूल अधिकारों को प्रत्याभूत किया गया है .,Enforcement of fundamental rights have been guaranteed the fundamental rights of all citizens and persons within the country in 111 of the Constitution of India.
34213,ted,They believed,उनको यकीन था,He was sure
10015,tides,It was held in S.P . Gupta v . Union of India -LRB- AIR 1982 SC 149 -RRB- that all the three functionaries were to be given equal importance in the process of consultation .,एस.सी . गुप्ता बनाम भारत संघ ( ए आई आर 1982 एस सी आर 149 ) में यह निर्णय दिया गया था कि इस परामर्श की प्रक्रिया में तीनों कृत्यकारियों को समान महत्व देना होगा .,SC. Gupta vs Union of India (AI R 1982 S CR 149) it was decided that would give equal importance to all three functionaries in the consultation process.
12382,indic2012,Adhyatmk lore and Indian philosophy would be orphaned without the world of Swami Vivekananda believed,अध्यात्म-विद्या और भारतीय दर्शन के बिना विश्व अनाथ हो जाएगा यह स्वामी विवेकानंदजी का दृढ़ विश्वास था।,Spirituality-gazing and orphaned world without Indian philosophy Swami conviction Vivekanandji.
124467,indic2012,harivansh rai bacchan -thick span,हरिवंश राय बच्चन (विकीस्रोत पर)मोटा पाठ,Harivansh Rai) bold text Bachchan (Vikisrot
84639,tides,Nothing has been done to curb the powers of officials which is dangerous when you consider how quickly other things have changed .,अधिकारियों के अधिकारों पर अंकुश लगाने के लिए कुछ नहीं किया गया है जो तेजी से बदलते हालत को देखते हे खतरनाक है .,Authorities has done nothing to curb the rights to see the rapidly changing condition is dangerous.
16153,indic2012,in islam the meaning of this is by declaration in arabic:,इस्लाम में इसका अर्थ मे इस अरबी घोषणा से हैः,"In this sense, Islam is: the Arabic declaration"
91746,ted,in both for-profit and nonprofit entities,मुनाफ़े के लिये या बिना मुनाफ़े के काम करने वाली संस्थाओं में,For profits or entities without profit
117816,ted,He did it again in 1968.,उन्होंने १९६८ में फिर दोहराया,He repeated in 1 9 68
80361,ted,"in a truly multicultural, pluralistic world",तरीका ढूंढ़ सकते हैं,How can trace
59258,ted,The fact that there are many right answers,यह बात कि “भोजन क्या है ?”,What is that &quot;food?&quot;
74467,indic2012,"Hanuman was an ideal devotee,He was always interested in doing service to Ram like a follower.",हनुमान एक आदर्श भक्त हैं वे राम की सेवा के लिये अनुचर के समान सदैव तत्पर रहते हैं।,Hanuman is a great devotee They always available as a retainer for serving Rama.
17403,tides,"A 4,167 km gas pipeline will take Kazakh gas to Shanghai , on China 's eastern edge .","4,167 किमी लंबी गैस पाइपलेन कज.क गैस को चीन के पूर्वी छोर पर स्थित शंघाई तक ले जाएगी .","4,167 km gas Paiplen Kjkk gas will move to Shanghai, on China&#39;s eastern edge."
54344,ted,"But if you look at the blue data points,","लेकिन अगर आप नीले डेटा बिंदुओं को देखो,","But if you look at the blue data points,"
12733,indic2012,This churlish and fearless saint of Kashi was born near Lahartara in 1398 on Full-Moon day.,काशी के इस अक्खड़ निडर एवं संत कवि का जन्म लहरतारा के पास सन् १३९८ में ज्येष्ठ पूर्णिमा को हुआ।,Near the birth of the abrasive and fearless saint poet Kasi Lhrtara year 13 was the eldest full 9 8.
14384,ted,is an unbelievable monument,एक अविश्वसनीय स्मारक है,Is an incredible monument
44626,ted,as I got my first digital camera,जब मुझे मेरा पहला डिजिटल कैमरा मिला,When I got my first digital camera
111256,indic2012,"Tall decorative marble spires, further visually emphasize the height of the dome.",संगमर्मर के ऊँचे सुसज्जित गुलदस्ते गुम्बद की ऊँचाई को और बल देते हैं।,The height of the high-equipped bouquets dome of marble give the force.
39839,ted,"And in a traditional model, if you did a snapshot assessment,","और पारंपरिक तरीके मे, अगर आप एक ही परीक्षा ले रहे होते,","And in the traditional way, if you&#39;re taking a test,"
60246,ted,The schools would produce the people,स्कूल लोगों का उत्पादन करती,School produces people
112641,indic2012,When the bill is sent to the President will approve it this,जब इस बिल को राष्ट्रपति के पास भेजा जायेगा तो वह सदैव इसे स्वीकृति दे देगा,When will send this bill to the president that always will give it approval
63486,tides,They tend to sleep for shorter durations and the quality of sleep is light rather than a deep one .,वे कम समय तक सोते हैं और नींद भी गहरी होने के बजाय हल्की हो जाती है .,They are rather like to sleep less and sleep deeper.
47253,ted,there may be equivalent ways to organize a human society,"अनेक विकल्प हो सकते हैं मानवीय समाज को संगठित करने में,","There can be several options to organize human society,"
59107,tides,"The landlord 's son surely would have become a gentleman farmer if the late H.N . Bahuguna , the powerful Congress leader from Uttar Pradesh , had n't spotted him and given him a ticket for Indira Gandhi 's famous “ garibi hatao ” general elections in 1971 .","जमींदार का बेटा सज्जन किसान बना होता , यदि उत्तर प्रदेश के ताकतवर कांग्रेसी नेता दिवंगत हेमवतीनंदन भगुणा ने उन्हें 1971 में इंदिरा गांधी के मशंर ' गरीबी हटाओ ' आम चुनाव में टिकट न दिया होता .","Landowner&#39;s son gentleman made farmer, if UP powerful congressman departed HN Bguna has not given tickets to Indira Gandhi Mshanr &#39;poverty alleviation&#39; general election in 1971."
119499,tides,"Rooted in kinship , he imparted clout to rural populism .",सगोत्रों में जड़ैं रखने वाले इस जाट नेता ने ग्रामीण लकवाद की जड़ैं मजबूत कीं .,"The Jat leader who Jdan in kinship, he Jdan rural Lkwad."
25161,indic2012,City Times,महानगर टाइम्स,Metropolitan Times
58542,tides,"As it also happened in some other cases of manufacturing , the Scindia project could get going only because the government was compelled to find an indigenous source for replacement of the ships sunk by enemy submarines while sailing to India with war supplies .","जैसाकि अन्य निर्माण कार्यों में हुआ है , सिंधिया का प्रोजेक़्ट इसलिए चल निकला क़्योंकि भारत की तरफ युद्ध सामग्री लेकर आते हुए जहाजों को जब शत्रु की पनडुZब्बियों ने मार गिराया तो सरकार इनके स्थान पर स्वदेशी जहाजों के निर्माण के लिए विवश हो गयी .","As in other works, Scindia Projekht so running out Khyonki Pandu when enemy ships bringing war on India content Z Bbion killed, the government was forced to build indigenous vessels thereof."
112572,ted,I could not believe I had pledged allegiance,मुझे विश्वास नहीं हुआ कि मैंने अपनी वफादारी,I could not believe that I have your loyalty
110687,tides,"In serious cases they may decide to recommend a prosecution : if the prosecution is successful , the Court may impose prohibitions on processes and the use of premises or equipment , fines and possibly imprisonment .","बहुत गम्भीर मामलों में , वे मुकदमा चलाने का निर्णय भी ले सकते हैं ; यदि मुकदमा सफल हो जाता है तो कोर्ट वस्तुओं या खाद्य प्रक्रियाओं पर और स्थान एवंउपकरण उपयोग पर रोक लगा सकती है , जुर्माने कर सकती है या जेल भेज सकती है .","In serious cases, they can also decide to prosecute; If the lawsuit is successful, the Court objects or processes and may stall space and equipment use, can fine or imprisonment."
30425,tides,They will guarantee a troubled succession .,उनके चलते आड़वाणी का सिंहासनारोहण आसान नहीं होगा .,Throne of their walk Advani will not be easy.
124689,ted,It's a marker of where the interesting waves are and whatever went on.,ये सब संकेत हैं कि हमें कहां रोचक तरंगें मिलेंगी और वहाँ क्या हुआ होगा.,It&#39;s a marker of where the interesting waves are and whatever went on.
24672,indic2012,"To control Germany England, France and Italy made a declaration in Stresa City(which is in Italy) in a signed letter in which was written to maintain independence to Austria and prevent Germany from breaking the Versailles treaty.",जर्मनी को काबू में करने के लिए इंग्लैंड फ्रांस और इटली ने स्ट्रेसा नामक शहर ( जो इटली में है ) में एक घोषणा-पत्र पे हस्ताक्षर किए जिसमे यह लिखा था की आस्ट्रिया की आज़ादी को कायम रखा जाए और जर्मनी को वेर्सल्लिएस की संधि तोड़ने से रोका जाए,"A declaration on signing in to Germany overcome England, France and Italy town of Stresa (which in Italy) by which it is maintained Austria&#39;s independence was written and Germany prevented from breaking treaty Versllis things"
44631,ted,"So, these seven things were all under discussion in gerontology a long time ago","तो, यह सात चीज़ें ग्रेंटॊलॊजी में काफ़ी समय से चर्चित रही हैं","So, it is known for a long time in seven things Grentolॊji"
65774,ted,(Applause),(तालियाँ),(Applause)
82008,tides,The home minister is said to be reluctant to revert to the party for fear of fuelling the impression that a parallel power centre was being built in the BJP .,मगर गृह मंत्री पार्टी की कमान संभालने में इसलिए हिचक रहे बताते हैं कि इससे भाजपा के भीतर सत्ता का समानांतर केंद्र पैदा होने का भ्रम बढैगा .,The home minister is the party&#39;s command Bdaga illusion to create parallel power center within the BJP calls are reluctant to revert.
106505,tides,"The temple built in the local reddish granite is easily the largest among early Vijayanagar temples , consisting of the sanctum and axial mandapa combined into one unit .",स्थानीय लाल ग्रेनाइट से निर्मित मंदिर विजयनगर मंदिरों में सबसे बड़ा कहा जा सकता है.इसमें मंदिर और अक्षीय मंडप एक इकाई में जुड़े हुए हैं .,Temple built of local red granite can be said to be the largest in Vijayanagar temples there to the temple and axial pavilions are connected into one unit.
14019,indic2012,"Indian society is multi religious, multi lingual and mix of cultures.",भारतीय समाज बहुधर्मिक बहुभाषी तथा मिश्र-सांस्कृतिक है।,Indian society Bhudharmik multilingual and alloy-cultural.
24364,ted,It's nothing if not ambitious.,यह काफ़ी महत्त्वाकांक्षी है।,It&#39;s pretty ambitious.
70871,tides,Calcium levels are digitally scored .,कैल्शियम के स्तर को अंकों में मापा जाता है .,Calcium levels are measured in points.
49004,indic2012,Mahmood Ghaznawi (971 A.D. - 1030 A.D.) declared himself a ruler.,महमूद ग़ज़नी (९७१-१०३०) ने अपने आप को तो सुल्तान भी घोषित कर दिया।,Yourself by Mahmud Ghazni (971-1030) then sultan declared.
103511,ted,from their environment,अपने वातावरण से,Your environment
105335,indic2012,Travel (Sunday),यात्रा (रविवार),Visit (Sunday)
50369,tides,"Some of the national festivals celebrated in the state are the Himachal day , the Republic day , the Independence Day and the Himachal Re-unification day , when in addition to the processions and tableaux , poetry readings and drama festivals are also organized by the state government .","यहां ऐतिहासिक पर्व तथा दिवस भी बड़े उत्साह से मनाए जाते हैं.हिमाचल दिवस , स्वतंत्रता दिवस हिमाचल पुनर्गठन दिवस आदि दिवसों पर विशाल समारोह आयोजित किए जाते है .","Historic Festival and Day are also celebrated with great enthusiasm Hankhimacl Day, Independence Day is being held massive celebrations on days Himachal restructuring Day etc."
88732,indic2012,10. One can find a deep and elaborate description of nature in Soor's poems.,10. सूर काव्य में प्रकृति-सौंदर्य का सूक्ष्म और सजीव वर्णन मिलता है।,10. Tire poetic get subtle and vivid descriptions of natural beauty.
64319,ted,"wanted to wear a veil,",पर्दा पहनने की,Wearing veils
27331,indic2012,"Flood of analogy, shower of money were started.",उपमाओं की बाढ़ आ जाती है रूपकों की वर्षा होने लगती है।,Is flooded with metaphors showers of metaphors.
90470,tides,"There have been many men world-famous who were world-scourges , and many who have failed to see beyond their noses .",हालांकि ऐसे कई विश्व-प्रसिद्ध लोग भी रहे हैं जो सारी दुनिया के लिए अनिष्ट कर रहे हैं और ऐसे भी हैं- जिन्हें अपनी नाक के आगे कुछ नहीं सूझता .,Although there are many world-famous people who are negative for the whole world and there also are those who fail to see anything beyond their noses.
84796,ted,I have a little acorn here,मेरे पास एक छोटा सा बाँजफ़ल है,I have a small Bajfl
33608,indic2012,The plan for election campaign of Obama,ओबामा का राष्ट्रपति पद के चुनाव प्रचार हेतु बनाया आधिकारिक जालस्थल,Obama&#39;s presidential election official website designed to promote
83330,indic2012,"‘Bombay Darpan' was the first Marathi newspaper, which was started by Balshastri Jabhekar in 1832.",बॉम्बे दर्पण प्रथम मराठी समाचार-पत्र था जिसे बालशास्त्री जाम्भेकर ने १८३२ में आरंभ किया था।,Bombay Mirror was the first Marathi newspaper which was launched in Balshastri Jambekr by 1832.
60378,ted,"And then I thought, in my 40s I started thinking,","और फिर अपने चालीसवे साल से मैं सोचने लगी,","And then your Calisve year I started thinking,"
81885,ted,But the difficulty of the problem,लेकिन समस्या की कठिनाई,But the problem of difficulty
7674,ted,Because the emphasis nowadays is so much,क्योंकि आजकल बातों को जोर डालकर कहना बहुत जरुरी है,Because the emphasis nowadays things pour point is very important
119206,indic2012,In this way rules under the parliament rule should be obeyed.,इस तरह संसद की विधि के अधीन विधिंयों का पालन हो सके ।,This could be followed Vidhinyon subject to parliamentary law.
98454,indic2012,Aswayug shukla dasami is celebrated as Vijayadasami.,आश्विन शुक्ल दशमी को विजयादशमी का त्यौहार मनाया जाता है।,Ashwin Shukla tenth is celebrated the festival of Vijaya.
43411,tides,Consider first the genetics of the MN blood groups .,प्रथम ंण् गुटों की उत्पत्ति के Zबारे में विचार करें .,Consider Z origin of the first Nn groups.
6144,tides,"Among these the Buddhist cave at Kondivte in Salsette , the Tulaja cave in Junnar , near Poona , and the cave in Guntupalle in Andhra bear comparison with the Sudama and Lomas Rishi caves near Gaya .",इनमें से सालसेट की कोंडिबटे तथा जुनऋ-ऊण्श्छ्ष्-नार की तुलजा गुफाएं जो पूना के पास हैं तथा आंध्र की गुंटूपलऋ-ऊण्श्छ्ष्-ली के निर्माण गया की सुदामा तथा लोमश ऋषि गुफाओं से काफी मेल खाते हैं .,Salset of these Kondibte and Junhri-Tulja caves Unshrcrsh-Nor are quite match near Pune and Sudama and fleecy sage was building Andhra Guntuplhri-Unshrcrsh-made caves.
100002,ted,in the professional practice of this art.,इस सिद्धान्त को कार्यान्वित नहीं कर पाया है ।,This theory has not been able to implement.
61832,indic2012,"at that time there was bankhim babu, sharath chandar and apart from this there was russian writers like tolstoy.",उस समय बंकिम बाबू थे शरतचंद्र थे और इसके अलावा टॉलस्टॉय जैसे रुसी साहित्यकार थे।,At that time there were Bankim Babu Sarat were also Tolstoy&#39;s Russian were literati.
49337,ted,to go out and continue this very important thing,जिससे कि वो इस बहुत ही महत्वपूर्ण काम को जारी रख सकें,So that they can continue this very important work
117152,indic2012,"Hindu Temple, Sri Lanka",हिंदू मंदिर श्री लंका,Hindu temple in Sri Lanka
13081,tides,"Gadkari is now planning an expansion , Tehelka style .",गड़करी अब तहलका की तर्ज पर अपने उपक्रम का विस्तार करने की योजना बना रहे हैं .,Gadkari is now planning to expand its venture on the lines of Tehelka.
100878,tides,Whatever be the regional variety the bridge of the instrument is of a particular interest .,कोई भी क्षेत्रीय किस्म हो वाद्य यंत्र की घोड़ी बहुत दिलचस्प होती है .,There is also very interesting mare regional variety instruments.
42508,tides,"However , tender costs are now rising sharply due to driver shortages and commercial operators withdrawing routes .",परंतु टैंडर का खर्च ड्राइवरों की कमी के कारण और बसें चलाने वाली कंपनियों द्वारा बस सेवाएं बंद करने के कारण तेजी से बढ रहा है .,But due to the closure of bus services by companies due to the lack of cost tenders drivers and buses is growing rapidly.
48454,tides,The message adds : ” If jehad is so irrelevant that we -LRB- Pakistan -RRB- remove jehad-related Quranic verses from school curriculum how can we force it in Kashmir ?,"संदेश में यह भी कहा गया है , ' ' अगर जेहाद इस कदर अप्रासंगिक है कि हम ( पाकिस्तान के ) स्कूली पा -ऊण्श्छ्ष्-यक्रमों से जेहाद से संबंधित कुरान की आयतें हटा रहे हैं तो हम इसे कश्मीर में कैसे लगू करेंगे ?","The message also said, &#39;If jihad are removed texts from the Koran concerning jihad so irrelevant that we -unshrcrsh-Ykramon find schooling (Pakistan) we will do it in place in Kashmir?"
36157,indic2012,3. Any list under the Article 7,3 अनुच्छेद 7 के अंतर्गत कोई भी सूची,3 Any list under Article 7
117849,indic2012,Kaantipur online.,कान्तिपुर अन्लाईन,Post emptied
19179,ted,but also grow myself?,बल्कि मुझमें भी विकास हुआ.,But me grew.
95732,tides,The incineration of two jute mill executives just outside Kolkata on January 13 was Bengal 's very own version of the Graham Staines killing .,13 जनवरी को कोलकाता के बाहरी इलके में एक जूट मिल के दो अधिकारियों की हत्या को ईसाई मिशनरी ग्राहम स्टेन्स हत्याकांड़ से कम बर्बर नहीं कहा जा सकता .,"Christian missionary murder of two officers of a jute mill in external Ilke Kolkata on January 13, Graham Staines Htyakand can not be less brutal."
37690,indic2012,his fans lovingly call him little master blaster.,उनके प्रशंसक उन्हें प्यार से लिटिल मास्टर व मास्टर ब्लास्टर कह कर बुलाते हैं।,Their fans to call them love the Little Master and Master Blaster.
83427,ted,How far back does that go? How far back does modern language go?,यह और कितना पीछे जाता है? आधुनिक भाषा और कितना पीछे जाती है,This much is behind? Modern languages and how much is behind
10789,tides,The kombu as one meets it now in south India is a C-shaped trumpet made of brass or copper and is usually constructed of three pieces with the blowing end having Fig .,"दक्षिण भारत में अब मिलने वाला कोम्बु पीतल अथवा तांबे का बना हुआ अंग्रेजी के सी अक्षर के आकार की तुरही है , जो तीन हिस्सों में बनी होती है .","South India now meet with kombu trumpet of brass or C letter shape made of copper English, is made up of three parts."
117831,ted,in the streets.,गलियों में.,in the streets.
99247,indic2012,Netscape Navigator and Internet Explorer are the most popular browser.,नेटस्केप नेवीगेटर और इंटरनेट एक्सप्लोरर सर्वाधिक प्रचलित ब्राउसर है|,Netscape Navigator and Internet Explorer is the most popular browser |
14473,ted,(Piano),(पियानो),(the piano)
